model,mean_roc_auc,mean_f1,mean_precision,mean_recall
xgboost,0.9610079275656448,0.6089755875687295,0.4887655594375489,0.8079174561043747
lightgbm,0.9572566838552128,0.482568369615444,0.3386135432006315,0.8395687298580663
catboost,0.9529930160744048,0.4546094951045908,0.3117875647723482,0.8389395180434484
