model,roc_auc,f1,precision,recall
GraphSAGE,0.9002123783693837,0.5738831615120275,0.5365461847389559,0.6168051708217913
GAT,0.8842102182720751,0.4830884865049539,0.3834056399132321,0.6528162511542013
GCN,0.8428472930747448,0.471241570805236,0.4130737134909596,0.5484764542936288
