model,val_pr_auc,test_pr_auc,test_roc_auc,test_f1,test_precision,test_recall
GraphSAGE,0.9685901661750768,0.4245710875278345,0.8604810185536507,0.4959465903671912,0.5128205128205128,0.4801477377654663
GAT,0.92648179984196,0.3080524187417375,0.8235638157872522,0.4405566600397614,0.3868715083798882,0.5115420129270545
GCN,0.8746440531681491,0.4528210233857545,0.8707901161330727,0.4783769353977576,0.5670886075949367,0.4136657433056325
