model,val_pr_auc,test_pr_auc,test_roc_auc,test_f1,test_precision,test_recall
lightgbm,0.7045724363074168,0.5698437638148941,0.9083968113598648,0.5520163646990064,0.6794964028776979,0.4648129921259842
xgboost,0.595070970253608,0.3263951247925395,0.8698525347707351,0.3639300646142151,0.2964396284829721,0.4712106299212598
